utc_timestamp,N1,N2,N3,N4
2018-01-03 23:00,-0.060475806,-0.046995704,-0.105276711,-0.017718696
2018-01-04 00:00,-0.051894487,-0.045613723,-0.101466052,-0.017218033
2018-01-04 01:00,-0.047672888,-0.044739912,-0.099267643,-0.016948966
2018-01-04 02:00,-0.04369197,-0.043796595,-0.097423069,-0.01633268
2018-01-04 03:00,-0.037957464,-0.04353596,-0.095984134,-0.015307108
2018-01-04 04:00,-0.027370066,-0.043928685,-0.094458488,-0.016110085
2018-01-04 05:00,-0.031851471,-0.046101495,-0.097269543,-0.017933841
2018-01-04 06:00,-0.05192934,-0.049226525,-0.101744356,-0.019814965
2018-01-04 07:00,-0.072209801,-0.051136911,-0.107529227,-0.020926097
2018-01-04 08:00,-0.080848418,-0.052428132,-0.1118393,-0.02131647
2018-01-04 09:00,-0.085272288,-0.053623097,-0.112865832,-0.020669199
2018-01-04 10:00,-0.083607215,-0.050485304,-0.109443003,-0.01883201
2018-01-04 11:00,-0.074509361,-0.044700851,-0.105685576,-0.0174457
2018-01-04 12:00,-0.063574749,-0.050175156,-0.108118594,-0.017335865
2018-01-04 13:00,-0.059563193,-0.053519882,-0.109495494,-0.018758619
2018-01-04 14:00,-0.062914058,-0.053311579,-0.110646753,-0.019352905
2018-01-04 15:00,-0.076844219,-0.054165147,-0.108361284,-0.019286787
2018-01-04 16:00,-0.079831533,-0.052321377,-0.107968351,-0.017849803
2018-01-04 17:00,-0.061848452,-0.047793288,-0.107425151,-0.017663393
2018-01-04 18:00,-0.045150804,-0.045488879,-0.104959246,-0.019328944
2018-01-04 19:00,-0.071227749,-0.047141213,-0.103694668,-0.020541595
2018-01-04 20:00,-0.08215086,-0.047561263,-0.103730388,-0.020588929
2018-01-04 21:00,-0.075013371,-0.048030955,-0.107168419,-0.020188308
2018-01-04 22:00,-0.065730492,-0.047298892,-0.10829401,-0.019498106
2018-01-04 23:00,-0.060512634,-0.046880024,-0.105882957,-0.018351712
2018-01-05 00:00,-0.051205741,-0.045317103,-0.101633339,-0.017913089
2018-01-05 01:00,-0.047139181,-0.044600916,-0.099667671,-0.017701532
2018-01-05 02:00,-0.043044505,-0.043959117,-0.0968694,-0.017059446
2018-01-05 03:00,-0.037054708,-0.043376979,-0.095734048,-0.016120303
2018-01-05 04:00,-0.028324106,-0.043686369,-0.095165954,-0.016837644
2018-01-05 05:00,-0.034873504,-0.046105815,-0.097631742,-0.018705301
2018-01-05 06:00,-0.057331377,-0.049358022,-0.102040911,-0.020387322
2018-01-05 07:00,-0.07751948,-0.051318604,-0.10801741,-0.021097508
2018-01-05 08:00,-0.083869863,-0.052259257,-0.110675874,-0.02083656
2018-01-05 09:00,-0.08611444,-0.052889128,-0.112392179,-0.019791044
2018-01-05 10:00,-0.082483299,-0.04913849,-0.107999416,-0.017844453
2018-01-05 11:00,-0.072810746,-0.042696769,-0.106396019,-0.016678196
2018-01-05 12:00,-0.062823633,-0.048194241,-0.106935373,-0.016444609
2018-01-05 13:00,-0.056123308,-0.051887936,-0.10985365,-0.017907594
2018-01-05 14:00,-0.061213707,-0.051369255,-0.109083053,-0.018877205
2018-01-05 15:00,-0.076440028,-0.052371998,-0.10836173,-0.019129974
2018-01-05 16:00,-0.08007336,-0.051292744,-0.108443229,-0.017314102
2018-01-05 17:00,-0.060767077,-0.046667289,-0.106809255,-0.01721112
2018-01-05 18:00,-0.0480166,-0.044287241,-0.104870337,-0.018740393
2018-01-05 19:00,-0.072258946,-0.045860431,-0.103586593,-0.01986139
2018-01-05 20:00,-0.082948022,-0.046245822,-0.102826202,-0.020268651
2018-01-05 21:00,-0.076855338,-0.046382064,-0.107541154,-0.02043363
2018-01-05 22:00,-0.068133219,-0.045974009,-0.110193384,-0.019404752
2018-01-05 23:00,-0.065340571,-0.045494481,-0.10625989,-0.018129272
2018-01-06 00:00,-0.056424106,-0.044198823,-0.102442115,-0.017745144
2018-01-06 01:00,-0.051661288,-0.043488282,-0.100821065,-0.017549731
2018-01-06 02:00,-0.04813385,-0.042628022,-0.09836203,-0.016891431
2018-01-06 03:00,-0.042480418,-0.041708553,-0.095658879,-0.015647346
2018-01-06 04:00,-0.034419021,-0.040983124,-0.092450017,-0.015332296
2018-01-06 05:00,-0.038933378,-0.040717446,-0.091052796,-0.016042836
2018-01-06 06:00,-0.058192842,-0.042719521,-0.092010377,-0.018127626
2018-01-06 07:00,-0.078656106,-0.044476072,-0.096286557,-0.019305911
2018-01-06 08:00,-0.087065451,-0.045941523,-0.101164981,-0.019449749
2018-01-06 09:00,-0.090585408,-0.046959397,-0.104279948,-0.018345288
2018-01-06 10:00,-0.089820569,-0.044026603,-0.102343671,-0.016465489
2018-01-06 11:00,-0.081109744,-0.037783282,-0.100454821,-0.014868205
2018-01-06 12:00,-0.069974917,-0.042182827,-0.10209576,-0.014612231
2018-01-06 13:00,-0.067993752,-0.045330157,-0.103116474,-0.015737643
2018-01-06 14:00,-0.070841052,-0.045450858,-0.103557543,-0.016886101
2018-01-06 15:00,-0.083692721,-0.046430158,-0.102412969,-0.018333325
2018-01-06 16:00,-0.086674559,-0.046372802,-0.103150968,-0.017444986
2018-01-06 17:00,-0.072476304,-0.043319333,-0.102147652,-0.016887552
2018-01-06 18:00,-0.062013844,-0.041876203,-0.100071167,-0.017999717
2018-01-06 19:00,-0.077898707,-0.043468731,-0.098875067,-0.018734885
2018-01-06 20:00,-0.085821299,-0.044165106,-0.098595726,-0.019420372
2018-01-06 21:00,-0.078742667,-0.044918315,-0.101530377,-0.019551186
2018-01-06 22:00,-0.070628912,-0.04452374,-0.103943329,-0.018965972
2018-01-06 23:00,-0.06523663,-0.044135594,-0.099661118,-0.018020408
2018-01-07 00:00,-0.056662771,-0.043017258,-0.096788064,-0.017575566
2018-01-07 01:00,-0.052590435,-0.042366956,-0.09331972,-0.017092895
2018-01-07 02:00,-0.049411575,-0.041561474,-0.091173691,-0.016473794
2018-01-07 03:00,-0.043413936,-0.040782657,-0.089106841,-0.015259588
2018-01-07 04:00,-0.034201209,-0.039975848,-0.084485762,-0.014684985
2018-01-07 05:00,-0.036888458,-0.039801959,-0.082096543,-0.015417052
2018-01-07 06:00,-0.05505859,-0.041782135,-0.082870513,-0.017270146
2018-01-07 07:00,-0.075612828,-0.043602484,-0.087462668,-0.018811576
2018-01-07 08:00,-0.085885282,-0.045828435,-0.091580793,-0.019158677
2018-01-07 09:00,-0.089139108,-0.047595633,-0.095403828,-0.018476483
2018-01-07 10:00,-0.087188488,-0.044712699,-0.094895197,-0.016757667
2018-01-07 11:00,-0.080376317,-0.039063035,-0.094381307,-0.015303294
2018-01-07 12:00,-0.070016446,-0.043465891,-0.096272762,-0.014749755
2018-01-07 13:00,-0.064234294,-0.046297682,-0.097552377,-0.016311959
2018-01-07 14:00,-0.072073176,-0.046006446,-0.097363406,-0.017496697
2018-01-07 15:00,-0.090143521,-0.046897508,-0.096952714,-0.019045971
2018-01-07 16:00,-0.095166662,-0.04647937,-0.098741114,-0.018178844
2018-01-07 17:00,-0.080702938,-0.043545714,-0.099255256,-0.017510057
2018-01-07 18:00,-0.071288053,-0.04190283,-0.099180209,-0.018731274
2018-01-07 19:00,-0.088151827,-0.043909908,-0.098599779,-0.019594423
2018-01-07 20:00,-0.091768946,-0.044414798,-0.097929763,-0.019799328
2018-01-07 21:00,-0.082414046,-0.045502635,-0.100476851,-0.019601251
2018-01-07 22:00,-0.071632271,-0.045003337,-0.102630423,-0.018773863
2018-01-07 23:00,-0.064041436,-0.044770669,-0.099185399,-0.017604446
2018-01-08 00:00,-0.055218362,-0.043805806,-0.096855909,-0.01727145
2018-01-08 01:00,-0.052006529,-0.043553763,-0.095127757,-0.016808841
2018-01-08 02:00,-0.048520692,-0.04287047,-0.093144324,-0.016212966
2018-01-08 03:00,-0.042657601,-0.042873105,-0.091120023,-0.015482152
2018-01-08 04:00,-0.035755222,-0.044306517,-0.089819716,-0.017221949
2018-01-08 05:00,-0.049663332,-0.048685534,-0.097769383,-0.019297853
2018-01-08 06:00,-0.076826446,-0.053067791,-0.104734125,-0.021274887
2018-01-08 07:00,-0.0909617,-0.054878057,-0.110227501,-0.022213715
2018-01-08 08:00,-0.093628252,-0.0554519,-0.11242474,-0.022176993
2018-01-08 09:00,-0.093312605,-0.056132248,-0.112967534,-0.021117202
2018-01-08 10:00,-0.08904799,-0.052610523,-0.109480386,-0.019291183
2018-01-08 11:00,-0.08015216,-0.046057777,-0.106344479,-0.017832865
2018-01-08 12:00,-0.072535285,-0.051829045,-0.108949741,-0.017786519
2018-01-08 13:00,-0.068274793,-0.05519471,-0.110748329,-0.019200368
2018-01-08 14:00,-0.072635724,-0.054876756,-0.111011281,-0.019695851
2018-01-08 15:00,-0.089205571,-0.055326812,-0.109236021,-0.019443457
2018-01-08 16:00,-0.091044531,-0.053519317,-0.109310849,-0.01838502
2018-01-08 17:00,-0.070679379,-0.049092486,-0.106583545,-0.017898234
2018-01-08 18:00,-0.058072543,-0.046550437,-0.105546184,-0.019710768
2018-01-08 19:00,-0.081116378,-0.048099748,-0.106399145,-0.020710407
2018-01-08 20:00,-0.089419808,-0.048541379,-0.105573559,-0.020845207
2018-01-08 21:00,-0.079619766,-0.048551889,-0.108132195,-0.020642195
2018-01-08 22:00,-0.067528047,-0.04771995,-0.109125649,-0.019446047
2018-01-08 23:00,-0.059752682,-0.047395931,-0.106951275,-0.018311141
2018-01-09 00:00,-0.052559435,-0.04624959,-0.103385407,-0.017898286
2018-01-09 01:00,-0.050096074,-0.045750151,-0.100885574,-0.017526793
2018-01-09 02:00,-0.048280633,-0.045014387,-0.098782321,-0.017009155
2018-01-09 03:00,-0.042718577,-0.04469153,-0.097450288,-0.016172954
2018-01-09 04:00,-0.035861705,-0.045368061,-0.095803712,-0.017084538
2018-01-09 05:00,-0.046276921,-0.048761713,-0.100184318,-0.019098773
2018-01-09 06:00,-0.073095063,-0.052995,-0.107028516,-0.021065483
2018-01-09 07:00,-0.085412819,-0.05472987,-0.110171484,-0.022044029
2018-01-09 08:00,-0.08965622,-0.055015671,-0.110816346,-0.022113681
2018-01-09 09:00,-0.089997906,-0.055600403,-0.111036842,-0.021133289
2018-01-09 10:00,-0.086295466,-0.052296747,-0.107956269,-0.019422758
2018-01-09 11:00,-0.078315722,-0.045675895,-0.104252558,-0.018302936
2018-01-09 12:00,-0.068513644,-0.051185531,-0.107357025,-0.017996858
2018-01-09 13:00,-0.064325835,-0.054672732,-0.109907821,-0.019838437
2018-01-09 14:00,-0.068947037,-0.054480201,-0.110473163,-0.020330487
2018-01-09 15:00,-0.086750559,-0.054842779,-0.10887966,-0.020121581
2018-01-09 16:00,-0.089099677,-0.053445241,-0.109854753,-0.018523226
2018-01-09 17:00,-0.069931858,-0.048939285,-0.108827465,-0.01820053
2018-01-09 18:00,-0.056248339,-0.046446543,-0.106170345,-0.020048884
2018-01-09 19:00,-0.080279692,-0.048188989,-0.105458818,-0.020886573
2018-01-09 20:00,-0.087695443,-0.048327071,-0.104306197,-0.021126404
2018-01-09 21:00,-0.07828868,-0.048182088,-0.107232894,-0.020751884
2018-01-09 22:00,-0.066759178,-0.04695526,-0.108507619,-0.019555998
2018-01-09 23:00,-0.060285046,-0.046271704,-0.106951175,-0.018421553
2018-01-10 00:00,-0.052925425,-0.045301832,-0.103393336,-0.017974749
2018-01-10 01:00,-0.049894588,-0.044917874,-0.100066608,-0.017670733
2018-01-10 02:00,-0.04690962,-0.044304344,-0.097649573,-0.016998485
2018-01-10 03:00,-0.041012822,-0.044155099,-0.096424668,-0.016158276
2018-01-10 04:00,-0.033504352,-0.04520598,-0.09492676,-0.017054305
2018-01-10 05:00,-0.044161746,-0.049013418,-0.09915332,-0.018882516
2018-01-10 06:00,-0.069817543,-0.05296909,-0.105119758,-0.020818077
2018-01-10 07:00,-0.083815707,-0.054935712,-0.108658441,-0.021823189
2018-01-10 08:00,-0.086507244,-0.055733758,-0.110593224,-0.021990448
2018-01-10 09:00,-0.086835921,-0.056469831,-0.110272041,-0.021257698
2018-01-10 10:00,-0.083773196,-0.052394109,-0.106946745,-0.019552989
2018-01-10 11:00,-0.074522371,-0.046235896,-0.104789977,-0.018476705
2018-01-10 12:00,-0.065556162,-0.051264667,-0.108095357,-0.01843544
2018-01-10 13:00,-0.062770231,-0.054689245,-0.111460109,-0.019744921
2018-01-10 14:00,-0.066165942,-0.054556318,-0.1128724,-0.020132808
2018-01-10 15:00,-0.082771097,-0.05499564,-0.110567836,-0.020264652
2018-01-10 16:00,-0.086834247,-0.053951297,-0.111187931,-0.01838777
2018-01-10 17:00,-0.068221288,-0.049524449,-0.110061179,-0.01809659
2018-01-10 18:00,-0.053593505,-0.04711665,-0.107784117,-0.019729743
2018-01-10 19:00,-0.078614836,-0.048456028,-0.107312236,-0.020617698
2018-01-10 20:00,-0.086700836,-0.048763075,-0.106270423,-0.02092069
2018-01-10 21:00,-0.078582834,-0.048686464,-0.108976136,-0.019867158
2018-01-10 22:00,-0.066997006,-0.047536868,-0.110407169,-0.019296875
2018-01-10 23:00,-0.0582787,-0.046930187,-0.107381993,-0.018223609
2018-01-11 00:00,-0.050666609,-0.045719788,-0.103683032,-0.017552687
2018-01-11 01:00,-0.047691591,-0.045178126,-0.101607736,-0.017313461
2018-01-11 02:00,-0.044414774,-0.044402252,-0.099456526,-0.016764044
2018-01-11 03:00,-0.038568567,-0.04425248,-0.098828675,-0.015811634
2018-01-11 04:00,-0.030914275,-0.044924516,-0.097365543,-0.016577204
2018-01-11 05:00,-0.040863714,-0.048490537,-0.101591046,-0.018308967
2018-01-11 06:00,-0.0670362,-0.053059075,-0.1081574,-0.020209894
2018-01-11 07:00,-0.079597043,-0.054794125,-0.112593117,-0.021299335
2018-01-11 08:00,-0.083236027,-0.055274312,-0.113046717,-0.021492769
2018-01-11 09:00,-0.086527859,-0.05587439,-0.113068032,-0.020778269
2018-01-11 10:00,-0.085310107,-0.052381112,-0.109857857,-0.019151392
2018-01-11 11:00,-0.077217101,-0.045363131,-0.106466106,-0.018059999
2018-01-11 12:00,-0.069703124,-0.051308326,-0.109327509,-0.017810641
2018-01-11 13:00,-0.066839229,-0.054849724,-0.111856091,-0.019306557
2018-01-11 14:00,-0.071987711,-0.054592752,-0.112517986,-0.019585194
