timestep,N1,N2,N3,N4
2018-01-04 07:00,0.374517367,0.740769355,0.358767102,0.502048918
2018-01-04 08:00,0.41767544,0.753217108,0.365714049,0.477801473
2018-01-04 09:00,0.517626756,0.758703201,0.356766245,0.452395433
2018-01-04 10:00,0.611034738,0.771750506,0.322672308,0.486249009
2018-01-04 11:00,0.674661297,0.784673026,0.300346066,0.522958693
2018-01-04 12:00,0.689903481,0.80045492,0.289543877,0.576057794
2018-01-04 13:00,0.666357485,0.81031939,0.278701317,0.628067419
2018-01-04 14:00,0.634977953,0.819068144,0.256785787,0.646771673
2018-01-04 15:00,0.618703258,0.825953692,0.212165991,0.678360232
2018-01-04 16:00,0.613589061,0.823368995,0.162722435,0.670433338
2018-01-04 17:00,0.616353888,0.809639307,0.135064551,0.654157276
2018-01-04 18:00,0.61256065,0.803145842,0.12549235,0.646579601
2018-01-04 19:00,0.606366667,0.795615899,0.125342069,0.658506982
2018-01-04 20:00,0.596395035,0.774924437,0.127680293,0.633617703
2018-01-04 21:00,0.594473664,0.764840348,0.128680655,0.647314962
2018-01-04 22:00,0.597398341,0.755629346,0.129587005,0.658779361
2018-01-04 23:00,0.587470887,0.731250209,0.135334544,0.669083814
2018-01-05 00:00,0.548044734,0.69883026,0.149034118,0.671311078
2018-01-05 01:00,0.4998783,0.66933104,0.169256321,0.673427263
2018-01-05 02:00,0.444554377,0.641038991,0.186183834,0.673396198
2018-01-05 03:00,0.381802045,0.612436962,0.200709451,0.66924131
2018-01-05 04:00,0.318835809,0.586338417,0.217537432,0.639702025
2018-01-05 05:00,0.284187371,0.574427126,0.232493905,0.635388952
2018-01-05 06:00,0.256819358,0.569477277,0.239381817,0.624113111
2018-01-05 07:00,0.245417408,0.559222872,0.246397663,0.604193178
2018-01-05 08:00,0.216237967,0.532100927,0.235867071,0.599557841
2018-01-05 09:00,0.198306068,0.500335935,0.203035834,0.603407767
2018-01-05 10:00,0.196671829,0.459945792,0.167297365,0.617708425
2018-01-05 11:00,0.222721257,0.418453872,0.146727393,0.643535134
2018-01-05 12:00,0.254380254,0.362671753,0.145255618,0.645900226
2018-01-05 13:00,0.247502571,0.301621329,0.155917189,0.656527983
2018-01-05 14:00,0.224085103,0.233472368,0.171742295,0.670038268
2018-01-05 15:00,0.210322065,0.194532055,0.175934631,0.65597856
2018-01-05 16:00,0.18575568,0.172696837,0.170643466,0.632387659
2018-01-05 17:00,0.150775869,0.164934535,0.162601623,0.612110705
2018-01-05 18:00,0.124205486,0.180552735,0.15033204,0.578500382
2018-01-05 19:00,0.099952853,0.222865839,0.136370727,0.541138086
2018-01-05 20:00,0.078187916,0.288402028,0.120531457,0.492371726
2018-01-05 21:00,0.060024336,0.362603525,0.102116293,0.462681188
2018-01-05 22:00,0.050283404,0.435499619,0.090407482,0.42562163
2018-01-05 23:00,0.04497466,0.505388515,0.091798077,0.399590086
2018-01-06 00:00,0.042344105,0.568202922,0.098741753,0.407633298
2018-01-06 01:00,0.039698888,0.629800033,0.105275777,0.43371866
2018-01-06 02:00,0.038949655,0.684903672,0.105379565,0.446088059
2018-01-06 03:00,0.045475069,0.729353786,0.102463575,0.467801894
2018-01-06 04:00,0.061857952,0.773257872,0.104908471,0.477891492
2018-01-06 05:00,0.080070643,0.812886207,0.119964398,0.474750263
2018-01-06 06:00,0.094750233,0.839528904,0.146429046,0.500411847
2018-01-06 07:00,0.102165339,0.859236963,0.174565316,0.527056228
2018-01-06 08:00,0.094558915,0.878023881,0.200705487,0.544557348
2018-01-06 09:00,0.072261657,0.861778808,0.214002571,0.550163589
2018-01-06 10:00,0.059672347,0.804451832,0.220531786,0.567697676
2018-01-06 11:00,0.062134327,0.73672695,0.242281291,0.575598559
2018-01-06 12:00,0.059583324,0.668375689,0.277270826,0.581141925
2018-01-06 13:00,0.051897123,0.609691018,0.330565407,0.590458298
2018-01-06 14:00,0.053246083,0.568491225,0.397439662,0.595085435
2018-01-06 15:00,0.062746019,0.568375777,0.441037888,0.593065214
2018-01-06 16:00,0.078574539,0.590536138,0.446392419,0.576368596
2018-01-06 17:00,0.086773149,0.593574856,0.439404883,0.568508103
2018-01-06 18:00,0.094670859,0.549845345,0.422441682,0.556973677
2018-01-06 19:00,0.100395989,0.495333934,0.402198984,0.562052562
2018-01-06 20:00,0.104701827,0.446570684,0.379540857,0.565896938
